vendor_code,review_count,avg_rating,positive_count,sample_review_text,sample_reviewer,sample_rating
gm08,1,1.0,0,"❌️❌️❌️ কেউ এই কিচেনে অর্ডার করবেন না। সে অর্ডার নিয়ে মোবাইল আর কিচেন অফ করে রাখে। আমার টাকা মেরে দিয়েছে। 😞 মাঝখানে রাইডার ছেলেটার সময় নষ্ট করল, এই Shop এর Owner। কেউ অর্ডার করবেন না। ",Jamilur,
xf94,23,3.48,35,Best burger & pop chicken highly recommend  ,Onib,
i336,1,5.0,2,Wow! Ordered for the first time. The quality and quantity were good. I would love to be your regular customer. Thanks!,Sabbir,
a9ia,3,3.0,4,"this restaurant food is so bad. rice & baji very little, totally frot",MD.,
z0y9,30,3.41,40,poor quality cheese and where is fking sauce??? how will eat this momo without sauce or chutny?,Tamanna,
ztoj,4,1.44,1,How come u guys sent undercooked Ruti & alu vhaji taste awful. Also dim vhaji ki baje vhabe pathaisen...disgusting ,Tasnia,
dtbd,23,2.59,25,ekhankar khabar khubi baje,Rabiul,
a7gz,19,4.45,36,delicious,Aveen,
yqq3,11,2.73,12,"Set menu-2, Nachos, and Potato Wedges are the tastiest! 😋 Restaurant early khulle valo hoito...",Tanjida,
fes5,3,1.0,0,"২০ মিনিটের দুরত্বে,৩ ঘন্টায় ডেলিভারি পাইছি।খাবার ঠান্ডা,টেস্ট বাজে।",Abidur,
onq7,6,2.43,5,Wrong product. Ordered Faluda and they gave me something else.,Asowad,
c8u2,20,3.08,22,দাম অনুযায়ী চিকেন গুলা ছোট দিয়েছে।কিন্তু তাদের চিকেন গুলো ফ্রেশ। এর থেকে এলাকার দামও কম প্লাস টেস্টটা ভালো হয়। ,Shoa,
d3fm,1,2.33,1,"it’s nothing like showing in the menu, and complitly covered with chocolate and other things, also too sweet to eat. wouldn’t order again from them. ",Mizanur,
alh2,1,2.33,1,"আগে রামিন নুডলস কাকে বলে, দেখতে কেমন হয়, কিভাবে বানায়, কিভাবে সার্ভ করে শেখেন, তারপর বিক্রি করেন। যত্তসব দুই নম্বরি শুরু করেছে। জীবনে চোখে দেখেছেন রামিন নুডলস ",Afroza,
cf65,23,2.79,24,Ordered chicken steak burger but got a different dish,Yeamin,
pb2x,26,2.73,25,Not bad. tasty,Shaila,
gyyf,1,1.0,0,Late! Don’t know how to pack a wrap in foil paper :) I was eating aluminum foil paper,Saiful,
aczh,26,3.11,25,"I ordered for my director, Ma'am. she gave good compliment about the food",Abdullah,
vgv0,15,3.33,22,ordered set menu 1 and thai soup thick. Both were delicious though the amount of fried rice should be increased. ,Sadia,
qsbs,9,3.75,16,Taste are fresh and good bhorta gula khub moja,Farin,
cz19,7,3.32,9,rotten food,A,
w55x,8,2.79,7,বিশ্বের জঘন্য খাবারের প্রতিযোগিতায় এসব খাবার নিয়ে গেলে বিজয়ী হবে। ক্রিস্পি বার্গার কি তা এই ফুড শপের মালিক কখনো খায় নি। আমি টাকা দেব যেন খেয়ে নেয়। আর স্যুপ কম্বোতে অনথন ছিল সেটা দেয় নি।চাওমিন মোটামুটি,Rumi,
ngid,1,4.0,2,"The items were tasty, but the rice quantity is very small for a set menu",Tawhid,
ape0,3,2.71,3,মাংস কাঁচা ছিল। টেষ্ট ভালো না একদম বাজে ,Sathi,
y7kb,18,3.67,28,so little quantity. did not expect that. food was good though.,Mehedi,
u2x7,30,3.29,36,Food valo chilo but gorur mangsho te shob tel chilo. mangshoii chilo nah. taka diye kine food er moddhe mangsho pabo nah eita amr kache onekk kharap lagse. but food motamoti.,Tamanna,
km3f,1,2.33,1,the food is very very tasteless.It has made me so disappointed.The food was not even cooked properly.It tasted so bad,Saifun,
sajp,30,3.74,51,the waffale is water licking taste to me and it's kind of different sweet food items. i love it always . . . but in future they must invent some more other flavors .keep it up...,Mahboob,
licl,25,4.33,56,Vegetables was good enough. but ruti basi chilo. ami 4 ta order korechilam 3ta peyechi. chicken was tasteless. Very disappointed. ,Sonali,
c83p,30,3.27,42,The crust was so hard and the base dough was so chewy and hard. Very less toppings. Rarely got chicken pieces. Disappointed. ,Lisa,
nibx,8,1.95,5,the worst fuchka I have ever eaten,sharmeen,
daoe,5,3.0,6,good ,Arko,
pzil,1,5.0,2,খাবারটা অনেক সুস্বাদু ছিল। পরিমান ও অনেক বেশি ছিল। পরবর্তীতে আবার অর্ডার দিব ইনশাল্লাহ। ,Nabil,
ni2q,15,3.35,24, খুবই বাজে ছিলো খাবার।Totally disappointed ,Eyasin,
ed21,1,1.0,0,"Disappointed with their Service. I have ordered 1 Fuchka & 1 Chotpoti with 3 sandwiches(2 double dacker & 1 Veg)
They Have delivered only 2 normal sub sandwiches with a little piece of sausage.",Saima,
n8qg,13,1.4,3,test is fine but beaf not abailable,Sufia,
krv8,30,3.53,47,Usually they served good food but today the swarmas was very awful taste ! Most probably they used old staffs in swarma. ,Masud,
bj0c,2,3.4,3,Worst food ,Rubieat,
ad8f,30,2.95,31,onk moja,Riyad,
np8o,30,2.73,28,best as always,Saadiq,
die6,3,1.75,1,The Pizza Bun was too much dry. Tasteless pizza ever,Tanisha,
h588,10,3.41,14,price tulonay size ta aktu Boro Korle kushi hotam,shunzida's,
kcmu,6,3.4,9,Fruit Cake that I received is EXPIRED ,Captain,
